pairnum,halfpos,mat_1_half_tag,mat_1_whole_tag,mat_1_half_red,mat_1_total_red,mat_2_half_tag,mat_2_whole_tag,mat_2_half_red,mat_2_total_red
1,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_1_mat_1_dim_10_r_22_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_1_mat_1_dim_10_r_43.png"" width=""300"" height=""300"" >",22,43,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_1_mat_2_dim_10_r_25_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_1_mat_2_dim_10_r_47.png"" width=""300"" height=""300"" >",25,47
2,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_2_mat_1_dim_10_r_32_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_2_mat_1_dim_10_r_60.png"" width=""300"" height=""300"" >",32,60,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_2_mat_2_dim_10_r_31_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_2_mat_2_dim_10_r_56.png"" width=""300"" height=""300"" >",31,56
3,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_3_mat_1_dim_10_r_24_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_3_mat_1_dim_10_r_50.png"" width=""300"" height=""300"" >",24,50,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_3_mat_2_dim_10_r_31_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_3_mat_2_dim_10_r_58.png"" width=""300"" height=""300"" >",31,58
4,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_4_mat_1_dim_10_r_23_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_4_mat_1_dim_10_r_46.png"" width=""300"" height=""300"" >",23,46,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_4_mat_2_dim_10_r_25_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_4_mat_2_dim_10_r_58.png"" width=""300"" height=""300"" >",25,58
5,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_5_mat_1_dim_10_r_18_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_5_mat_1_dim_10_r_48.png"" width=""300"" height=""300"" >",18,48,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_5_mat_2_dim_10_r_19_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_5_mat_2_dim_10_r_49.png"" width=""300"" height=""300"" >",19,49
6,top,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_6_mat_1_dim_10_r_33_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_6_mat_1_dim_10_r_61.png"" width=""300"" height=""300"" >",33,61,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_6_mat_2_dim_10_r_25_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_6_mat_2_dim_10_r_55.png"" width=""300"" height=""300"" >",25,55
7,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_7_mat_1_dim_10_r_25_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_7_mat_1_dim_10_r_53.png"" width=""300"" height=""300"" >",25,53,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_7_mat_2_dim_10_r_22_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_7_mat_2_dim_10_r_52.png"" width=""300"" height=""300"" >",22,52
8,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_8_mat_1_dim_10_r_24_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_8_mat_1_dim_10_r_46.png"" width=""300"" height=""300"" >",24,46,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_8_mat_2_dim_10_r_17_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_8_mat_2_dim_10_r_37.png"" width=""300"" height=""300"" >",17,37
9,top,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_9_mat_1_dim_10_r_31_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_9_mat_1_dim_10_r_63.png"" width=""300"" height=""300"" >",31,63,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_9_mat_2_dim_10_r_27_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_9_mat_2_dim_10_r_48.png"" width=""300"" height=""300"" >",27,48
10,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_10_mat_1_dim_10_r_20_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_10_mat_1_dim_10_r_43.png"" width=""300"" height=""300"" >",20,43,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_10_mat_2_dim_10_r_32_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_10_mat_2_dim_10_r_62.png"" width=""300"" height=""300"" >",32,62
